province,type,name,about,priorities,website,phone,email,address,parent_ministry,minister_name,minister_phone,minister_email,minister_url,minister_photo_url,twitter,facebook,youtube,instagram
AB,Regulatory/Adjudicative,Alberta College of Medical Diagnostic and Therapeutic Technologists - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://acmdtt.com/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta College of Occupational Therapists - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://acot.ca/about-acot/council/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta College of Optometrists - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes establishing and enforcing a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://collegeofoptometrists.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta College of Paramedics - Council,"The Council of the Alberta College of Paramedics manages and conducts the business and affairs of the College and govern the registered members of the College in accordance with the Act, the regulations and the bylaws in a manner that serves and protects the public interest.",,https://abparamedics.com/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta College of Pharmacy - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://abpharmacy.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta College of Social Workers - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://acsw.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta College of Speech-Language Pathologists and Audiologists - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://www.acslpa.ca/,,,,,,,,,,,,,
AB,Service Delivery,Alberta Conservation Association,The Alberta Conservation Association is a delegated administrative organization established under the Alberta Wildlife Act to conserve and enhance Alberta's natural biological resources.,,https://www.ab-conservation.com/,,,,,,,,,,,,,
AB,Advisory,Alberta Council on Admissions and Transfer,"The Alberta Council on Admissions and Transfer is an advisory agency accountable to the Minister of Enterprise and Advanced Education and, in support of Campus Alberta, responsible for providing advice and guidance regarding post-secondary admission and transfer policy.",,https://acat.alberta.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Electric System Operator,"The Alberta Electric System Operator facilitates a fair, efficient and openly competitive market for electricity and provides for the safe, reliable and economic operations of Alberta's interconnected electric system.",,https://www.aeso.ca/aeso/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Elevating Devices and Amusement Rides Safety Association,"The Alberta Elevating Devices and Amusement Rides Safety Association is the delegated administrative organization that administers specified safety services, in accordance with regulations under the Safety Codes Act, pertaining to elevators, escalators, dumbwaiters, freight platform lifts, man lifts, passenger ropeways, personnel hoists, lifts for persons with physical disabilities, amusement rides and any other thing defined as “elevating devices” under the Act.",,https://www.aedarsa.com/,,,,,,,,,,,,,
AB,Advisory,Alberta Emergency Medical Services Standing Committee,"AEMSSC provides feedback and recommendations on opportunities and challenges within Alberta's EMS system based upon reviews of performance data of EMS system operations, progress on the implementation of the recommendations from the Alberta EMS Provincial Advisory Committee (AEPAC) and EMS Dispatch Review reports, and policy issues related to Alberta's EMS system.",,https://abparamedics.com/ems-standing-committee/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Employment Pension Tribunal,"The Alberta Employment Pension Tribunal hears appeals made by pension plan administrators in respect of certain decisions made by the Superintendent of Pensions, as identified under Part 12 of the Employment Pension Plans Act (Reconsiderations and Appeals).",,https://www.alberta.ca/pensions-pension-plan-appeals,,,,,,,,,,,,,
AB,Advisory,Alberta Energy Regulator- Board of Directors,"The Alberta Energy Regulator ensures the safe, efficient, orderly, and environmentally responsible development of hydrocarbon resources over their entire life cycle. This includes allocating and conserving water resources, managing public lands, and protecting the environment while providing economic benefits for all Albertans.",,https://www.aer.ca/about-aer/governance/board-directors,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Energy Regulator- Hearing Commission,"The Alberta Energy Regulator ensures the safe, efficient, orderly, and environmentally responsible development of hydrocarbon and mineral resources over their entire life cycle. This includes allocating and conserving water resources, managing public lands, and protecting the environment while providing economic benefits for all Albertans.",,https://www.aer.ca/,,,,,,,,,,,,,
AB,Public Trust,Alberta Enterprise Corporation - Board of Directors,"The Alberta Enterprise Corporation develops the locally managed venture capital industry for knowledge-based industry sectors. The Corporation makes investments as a Limited Partner in venture capital funds focused on priority, knowledge-based industry sectors such as information and communications technologies, life sciences, nanotechnology, environmental technology, and promotes the development of the venture capital industry supporting knowledge-based industries in Alberta.",,https://www.alberta-enterprise.ca/about-us/team-board/,,,,,,,,,,,,,
AB,Public Trust,Alberta Foundation for the Arts,"The Alberta Foundation for the Arts supports, contributes to, and promotes the arts in Alberta by providing opportunities to participate in the arts, and fostering and promoting Alberta artists, including collecting, preserving and displaying works of art by Alberta artists.",,https://www.affta.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Funeral Services Regulatory Board,"The Alberta Funeral Services Regulatory Board regulates funeral businesses, funeral directors, embalmers and pre-need funeral salespeople. The Board is responsible for setting and enforcing standards of conduct, licensing of industry members, establishing education criteria, monitoring pre-need funeral trust accounts, investigating complaints and taking enforcement action.",,https://www.afsrb.ab.ca/,,,,,,,,,,,,,
AB,Corporate Enterprise,"Alberta Gaming, Liquor and Cannabis Commission","The Alberta Gaming, Liquor and Cannabis Commission conducts and manages provincial lotteries; controls the manufacture, import, sale, purchase, possession, storage, transportation, use and consumption of liquor; and controls the import, distribution, sale, purchase, giving, possession, storage, transportation and use of cannabis.",,https://aglc.ca/,,,,,,,,,,,,,
AB,Service Delivery,Alberta Health Services,·planning for the provision of health services in Alberta;,,https://www.albertahealthservices.ca/,,,,,,,,,,,,,
AB,Service Delivery,Alberta Health Services Provincial Health Corporation,The AHS PHC is established for the purposes of delivering health services in the acute care health services sector.,,https://www.albertahealthservices.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Human Ecology and Home Economics Association - Board of Directors,"The governing body of a registered association shall manage and conduct the business and affairs of the registered association and exercise the rights, powers and privileges of the registered association in the name and on behalf of the registered association. The Alberta Human Ecology and Home Economics Association is focused on improving the quality of life of families and individuals by helping them make the best use of their resources.",,https://www.ahea.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Human Rights Commission,"The Alberta Human Rights Commission is responsible for education and engagement to foster equality and reduce discrimination, resolving complaints, and adjudicating appeals when complaints cannot be resolved through other mechanisms. The Commission also oversees the administration of the Human Rights Education and Multiculturalism Fund.",,https://albertahumanrights.ab.ca/,,,,,,,,,,,,,
AB,Corporate Enterprise,Alberta iGaming Corporation,"Mandate: Subject to the regulations, the mandate of the corporation is:",,https://www.alberta.ca/albertas-igaming-strategy,,,,,,,,,,,,,
AB,Corporate Enterprise,Alberta Indigenous Opportunities Corporation,"Mandate: The Alberta Indigenous Opportunities Corporation facilitates investment by Indigenous groups in the natural resource, agriculture, telecommunication, transportation, tourism, healthcare, and technology sectors, and related infrastructure.",,https://theaioc.com/,,,,,,,,,,,,,
AB,Service Delivery,Alberta Innovates,"Alberta Innovates supports research and innovation activities aligned with Government of Alberta priorities including activities directed at discovery, commercialization and application of knowledge.",,https://albertainnovates.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Institute of Agrologists - Complaint Review and Hearing Tribunals,Complaint Review and Hearing Tribunals are described in the Agrology Profession Act. A hearing tribunal’s powers and duties include holding hearings under the Act.,,https://albertaagrologists.ca/site/public/complaint,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Institute of Agrologists - Council,"The Council manages and conducts the activities of the Alberta Institute of Agrologists, exercises the rights, powers and privileges and carries out the duties of the Institute in the name of and on behalf of the Institute and carries out the powers and duties of the Council under the Agrology Profession Act and the bylaws.",,https://www.albertaagrologists.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Insurance Council,"The Alberta Insurance Council is the financial arm of the four insurance councils (the Alberta Insurance Council, the Insurance Adjusters’ Council, the General Insurance Council and the Life Insurance Council) and provides investigation and administrative services to the other councils.",,https://www.abcouncil.ab.ca/,,,,,,,,,,,,,
AB,Public Trust,Alberta Investment Management Corporation,"The Alberta Investment Management Corporation (AIMCo) provides investment solutions for government owned funds, Alberta’s public sector pension plans, as well as a number of other public entities.",,https://www.aimco.ca/,,,,,,,,,,,,,
AB,Advisory,Alberta Judicial Nominating Committee,"The role of the Committee is to make recommendations for Alberta Court of Justice judicial appointments from a list of qualified candidates provided by Judicial Council. The Committee selects candidates, interviews and makes recommendations to the Minister of Justice.",,https://albertacourts.ca/cj/about-the-court/judicial-information/judicial-appointments,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Labour Relations Board,The Labour Relations Board is the independent and impartial tribunal responsible for the day-to-day application and interpretation of Alberta's labour laws. It processes applications and frequently conducts hearings on matters arising from both private and public employment sectors.,,https://alrb.gov.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Land Surveyors' Association - Council,The Council manages and conducts the business and affairs of the Alberta Land Surveyors' Association and exercises the powers of the Association in the name of and on behalf of the Association.,,https://www.alsa.ab.ca/,,,,,,,,,,,,,
AB,Advisory,Alberta Land Surveyors' Association - Practice Review Board,"The Practice Review Board assesses existing and develops new educational standards and experience requirements, evaluates desirable standards of competence of practitioners generally, as well as the practice of surveying by practitioners generally, and conducts a review of the practice of a practitioner in accordance with the Land Surveyors Act and the regulations.",,https://www.alsa.ab.ca/,,,,,,,,,,,,,
AB,Service Delivery,Alberta Law Foundation,"The Legal Profession Act requires that financial institutions must pay interest from lawyer's general trust accounts to the Alberta Law Foundation. The Foundation then makes these funds available to a variety of organizations that undertake activities meeting the Foundation’s goals, which include public legal education, law libraries, law research and reform, native legal programs and student legal aid programs.",,https://albertalawfoundation.org/,,,,,,,,,,,,,
AB,Service Delivery,Alberta Law Libraries,"The Board is a decision-making body, and is responsible for making recommendations about funding Alberta Law Libraries (ALL), setting policy governing the operation of ALL, and for overseeing the operation of the library system.",,https://www.lawlibrary.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Motor Vehicle Industry Council,"The Alberta Motor Vehicle Industry Council (AMVIC) is responsible for administering theConsumer Protection Actin respect of automotive businesses. The Council regulates the selling, leasing, cosigning or repair of motor vehicles in Alberta and is responsible for setting and enforcing standards of conduct, licensing of industry members, establishing education criteria for automotive salespeople, investigating complaints and taking appropriate enforcement action.",,https://www.amvic.org/,,,,,,,,,,,,,
AB,Advisory,Alberta Order of Excellence Council,The Alberta Order of Excellence accords recognition to those persons who have rendered service of the greatest distinction and of singular excellence for or on behalf of the residents of Alberta. The Council acts as the governing body of the Order and advises the Chancellor on matters concerning the Order.,,https://www.alberta.ca/the-alberta-order-of-excellence,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Parole Board,The Alberta Parole Board is responsible for making parole decisions for inmates serving sentences of less than two years in Alberta correctional centres.,,,,,,,,,,,,,,,
AB,Service Delivery,Alberta Pensions Services Corporation,The Alberta Pensions Services Corporation administers public service pension plans and provides services and support related to group benefit programs for persons receiving a pension benefit. The Corporation also provides secretariat services to designated pension boards and committees.,,https://www.apsc.ca/,,,,,,,,,,,,,
AB,Corporate Enterprise,Alberta Petroleum Marketing Commission,"The Alberta Petroleum Marketing Commission is responsible for selling the conventional crude that the government receives in lieu of cash royalties. The Commission also develops commodity prices used in royalty calculations, assists with the development of new energy markets and transportation infrastructure, and manages the implementation of Alberta's Bitumen Royalty In-Kind Policy.",,https://www.apmc.ca/,,,,,,,,,,,,,
AB,Service Delivery,Alberta Professional Outfitters Society,"The Alberta Professional Outfitters Society is a delegated administrative organization whose powers, duties and functions are to qualify guide/outfitters in Alberta, provide allocation of opportunities among guide/outfitters, discipline outfitter/guides, and allocate non-resident, non- Canadian licenses among outfitter guides.",,https://www.apos.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Professional Planners Institute - Council,"The Council of the Alberta Professional Planners Institute manages and conducts the business and affairs of the Institute and exercise the rights, powers and privileges of the Institute in the name and on behalf of the Institute.",,https://www.albertaplanners.com/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Recycling Management Authority,"The Alberta Recycling Management Authority is a delegated administrative organization established under the Societies Act. This organization manages the provincially regulated recycling programs for scrap tires, waste electronics, waste paint and paint containers.",,https://www.albertarecycling.ca/,,,,,,,,,,,,,
AB,Advisory,Alberta Research and Innovation Advisory Committee,The Alberta Research and Innovation Advisory Committee provides expert and independent strategic advice and recommendations to the Minister on research and innovation.,,https://www.alberta.ca/alberta-research-innovation-advisory-committee,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Securities Commission,"The Alberta Securities Commission is responsible for administering the province's securities laws, including making and enforcing rules. The Commission is also responsible for adjudicating matters related to the administration of Alberta securities laws.",,https://www.asc.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Shorthand Reporters' Association - Council,"The Council of the Alberta Shorthand Reporters' Association manages and conducts the business and affairs of the Association and exercise the rights, powers and privileges of the Association in the name and on behalf of the Association.",,https://asraonline.com/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Society of Professional Biologists - Board of Directors,"The Board of Directors of the Alberta Society of Professional Biologists manages and conducts the business and affairs of the Society and exercise the rights, powers and privileges of the Society in the name and on behalf of the Society.",,https://www.aspb.ab.ca/,,,,,,,,,,,,,
AB,Service Delivery,Alberta University of the Arts Board of Governors,"Alberta University of the Arts is a board-governed, public post-secondary institution with its main campus located in Calgary. It operates under the authority of Alberta’sPost-secondary Learning Actas an undergraduate university. The institution offers a range of undergraduate programming and may undertake research and scholarly activities that enrich undergraduate education.",,https://www.auarts.ca/about-auarts/governance/board-of-governors,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Utilities Commission,"The Alberta Utilities Commission is an independent, quasi-judicial agency that is responsible for ensuring the delivery of Alberta’s utility services. The Commission regulates the utilities sector, natural gas and electricity markets to protect social, economic and environmental interests of Alberta where competitive market forces do not.",,https://www.auc.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Veterinary Medical Association - Council,The Alberta Veterinary Medical Association is the professional regulatory organization governing the practice of veterinary medicine in Alberta under the authority of the Veterinary Profession Act.,,https://www.mvma.ca/registrar-chief-executive-officer-abvma/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Veterinary Medical Association - Hearing Tribunal and Complaint Review Committee,The Complaint Review Committee reviews a referral under legislation within 30 days of receiving it and may dismiss the complaint or direct the Complaints Director to conduct or appoint an investigator to conduct an investigation and to prepare a report on the investigation for the consideration of the Committee.,,https://abvma.in1touch.org/uploaded/web/website/Complaints and Discipline/ABVMA%20Complaint%20Process_rev.%20July%2011%2C%202025.pdf,,,,,,,,,,,,,
AB,Advisory,Alberta Veterinary Medical Association - Practice Review Board,"The Practice Review Board assesses existing and develops new educational standards and experience requirements, evaluates desirable standards of competence of registered veterinarians and permit holders generally, evaluates the practice of veterinary medicine by registered veterinarians generally, and conducts reviews of the practice of a registered veterinarian or permit holder in accordance with the Veterinary Profession Act and the regulations.",,https://open.alberta.ca/publications/v02,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Appeals Commission for Alberta Workers' Compensation,"The Appeals Commission for Alberta Workers’ Compensation hears appeals for workers and employers dissatisfied with decisions made by the Workers' Compensation Board. The Appeals Commission's mission is to provide a timely, fair and independent appeals process consistent with legislation, policy, and the principles of natural justice.",,https://www.appealscommission.ab.ca/,,,,,,,,,,,,,
AB,Service Delivery,Assisted Living Alberta,"Assisted Living Alberta will provide Albertans access to a comprehensive system of continuing care with a full range of wraparound services, including medical and non-medical supports, home care, community care and social services.",,https://assistedlivingalberta.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Assoc. of Prof. Engineers & Geoscientists of AB & Assoc. of Science & Engineering Tech. Prof.-Joint Board of Examiners,The Joint Discipline Committee adjudicates allegations of unskilled practice or unprofessional conduct against professional technologists in order to maintain levels of competency and ethics.,,,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Assoc. of Prof. Engineers & Geoscientists of Alta. & Assoc. of Sci & Eng. Tech. Prof. of  Alta.–Joint Appeal Board,A professional technologist who is the subject of a hearing or a review by the Joint Practice Review Board may appeal any decision or order of the Board to the Appeal Board.,,https://www.apega.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Assoc. of Prof. Engineers & Geoscientists of Alta. & Assoc. of Sci & Eng. Tech. Prof. of  Alta.–Joint Discipline Committ,"The Joint Investigative Committee investigates complaints against professional technologists received by the Registrar or designate, in accordance with the requirements of the legislation.",,https://www.apega.ca/,,,,,,,,,,,,,
AB,Advisory,Assoc. of Prof. Engineers & Geoscientists of Alta. & Assoc. of Sci & Eng. Tech. Prof. of  Alta.–Joint Investigative Comm,"The Joint Investigative Committee investigates complaints against professional technologists received by the Registrar or designate, in accordance with the requirements of the legislation.",,https://www.apega.ca/,,,,,,,,,,,,,
AB,Advisory,Assoc. of Prof. Engineers & Geoscientists of Alta. & Assoc. of Sci & Eng. Tech. Prof. of  Alta.–Joint Practice Review Bo,The Joint Practice Review Board will assess the existing and the development of new educational standards and experience requirements for obtaining and continuing registration as a professional technologist; the evaluation standards of competence for professional technologists; and the practice of professional technologists. The Board may also conduct a review of a professional technologist in accordance with the legislation.,,https://www.apega.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Assoc. of Prof. Engineers & Geoscientists of Alta. & Assoc. of Sci & Eng. Tech. Prof. of  Alta.–Joint Prof Tech Reg Comm,"The Joint Professional Technologists Regulations Committee may make regulations: respecting the eligibility of applicants for registration as professional technologists; respecting the establishment and administration of a register of professional technologists and the functions, duties and responsibilities of the ASET Registrar, including the removal of entries from the register.",,https://www.apega.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Association of Alberta Forest Management Professionals Council,"The Council of the Association of Alberta Forest Management Professionals manages and conducts the activities of the Association, exercises the rights, powers and privileges and carries out the duties of the Association in the name of and on behalf of the Association and carries out the powers and duties of the Council under the Regulated Forest Management Profession Act and the bylaws.",,https://aafmp.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Association of Alberta Forest Management Professionals-Joint Complaint Review Committee & Hearing Tribunal,"These committees protect the interests of the public and will take disciplinary action if a member's conduct is unprofessional. Regulated members found guilty of unethical or unskilled practice may find that: their practice is restricted, skills must be upgraded, and/or fines are imposed.",,https://aafmp.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Association of Professional Engineers and Geoscientists of Alberta - Appeal Board,"A professional member, licensee, permit holder or certificate holder who is the subject of a hearing or a review by the Practice Review Board may appeal any decision or order of the Board to the Appeal Board.",,https://www.apega.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Association of Professional Engineers and Geoscientists of Alberta - Board of Examiners,"The Board of Examiners confirms that individuals approved for registration in the professions of engineering and geoscience meet standards of admission, in accordance with the Engineering and Geoscience Professions Act and Regulations.",,https://www.apega.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Association of Professional Engineers and Geoscientists of Alberta - Council,"The Council of the Association of Professional Engineers and Geoscientists of Alberta manages and conducts the business and affairs of the Association and exercise the rights, powers and privileges of the Association in the name and on behalf of the Association.",,https://www.apega.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Association of Professional Engineers and Geoscientists of Alberta - Discipline Committee,"The Discipline Committee adjudicates allegations of unskilled practice or unprofessional conduct against members of APEGA, and thereby maintain levels of competence and ethics in the practice of the professions of engineering and Geoscience.",,https://www.apega.ca/news/2025/05/20/new-legislation-for-alberta-engineers-and-geoscientists-receives-royal-assent,,,,,,,,,,,,,
AB,Advisory,Association of Professional Engineers and Geoscientists of Alberta - Investigative Committee,"The Investigative Committee investigates complaints against members of the Association received by the Registrar or designate, in accordance with the requirements of the Engineering and Geoscience Professions Act.",,https://www.apega.ca/,,,,,,,,,,,,,
AB,Advisory,Association of Professional Engineers and Geoscientists of Alberta - Practice Review Board,"The Practice Review Board assesses existing and develops new educational standards and experience requirements, evaluates desirable standards of competence of professional members, licensees, permit holders and certificate holders generally, the practice of the profession by professional members, licensees, permit holders or certificate holders generally, and conducts reviews of the practice of a professional member, licensee, permit holder or certificate holder in accordance with the Engineering and Geoscience Professions Act and the regulations.",,https://www.apega.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Association of School Business Officials of Alberta - Executive Committee,"The Executive Committee has full control and management of the business affairs of the Association of School Business Officials of Alberta including the approval and adoption of a Code of Ethics for the Association. This control is subject to the Professional and Occupational Associations Registrations Act, the Regulation, the by-laws and direction given them by a majority vote at any annual general meeting or special meeting of the Association.",,https://asboalberta.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Association of Science and Engineering Technology Professionals of Alberta (ASET) - Council,The Council manages and conducts the business and affairs of the Association of Science and Engineering Technology Professionals of Alberta and exercise the powers of the Association in the name of and on behalf of the Association.,,https://www.aset.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Association of the Chemical Profession of Alberta - Board of Directors,"The Board of Directors of the Association of the Chemical Profession of Alberta manages and conducts the business and affairs of the Association and exercise the rights, powers and privileges of the Association in the name and on behalf of the Association.",,https://www.pchem.ca/about-us/board-of-directors/,,,,,,,,,,,,,
AB,Corporate Enterprise,ATB Financial,The Board has the responsibility to oversee the conduct of the business and affairs of ATB Financial. ATB Financial provides core financial services throughout Alberta.,,https://www.atb.com/sign-in/,,,,,,,,,,,,,
AB,Service Delivery,Athabasca University Board of Governors,"Athabasca University is a board-governed, public post-secondary institution with its headquarters located in Athabasca. It operates under the authority of Alberta’sPost-secondary Learning Actas a comprehensive academic and research university. The institution offers a range of online undergraduate and graduate programming and may undertake all forms of research, including discovery research.",,https://www.athabascau.ca/university-secretariat/board-of-governors/index.html,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Attendance Board,The Attendance Board provides an alternative to the immediate use of the courts for the enforcement of compulsory school attendance in the Province of Alberta. Those students between 6 and 16 years of age who are required to attend school but who have a history of non-attendance will be assisted when the Attendance Board hears cases referred to it by school authorities.,,https://www.alberta.ca/attendance-board,,,,,,,,,,,,,
