province,type,name,about,priorities,website,phone,email,address,minister_name,minister_phone,minister_email,minister_url,minister_photo_url,twitter,facebook,youtube,instagram
ON,Ministry,Education,"Delivering early years, child care and publicly funded education from kindergarten to Grade 12.",,https://www.ontario.ca/page/ministry-education,416-325-2929,,"7095 Ministry of Education 315 Front Street West, 14 th Floor Toronto, On","The Government of Ontario includes ministries, agencies and Crown corporations.",,,,,https://x.com/ONEducation,https://www.facebook.com/OntarioEducation/,,https://www.instagram.com/ontario_education/
ON,Ministry,"Labour, Immigration, Training and Skills Development","Helping protect workers and settle workplace disputes, supporting skilled trades and employment services, attracting highly-skilled newcomers and helping people get settled in Ontario.",,https://www.ontario.ca/page/ministry-labour-immigration-training-skills-development,416-326-7160,webes@ontario.ca,"400 University Avenue Toronto, On",Employment Standards Information Centre,,,,,https://x.com/ONTatwork,https://www.facebook.com/OntarioAtWork,,https://www.instagram.com/OntarioAtWork/
ON,Ministry,Infrastructure,"Building Ontario through critical infrastructure projects that help grow the economy, deliver better services, make commutes easier and create complete communities.",,https://www.ontario.ca/page/ministry-infrastructure,416-327-4412,,"7095 Ministry of Infrastructure 777 Bay Street, 5 th floor Toronto, On","Building Ontario through critical infrastructure projects that help grow the economy, deliver better services, make commutes easier and create complete communities.",,,,,https://x.com/ONInfra,,,https://www.instagram.com/oninfrastructure
ON,Ministry,Indigenous Affairs and First Nations Economic Reconciliation,"Ontario is working to address the legacy of residential schools, remove barriers andreconcile relationshipswith Indigenous peoples.",,https://www.ontario.ca/page/ministry-indigenous-affairs,416-326-4740,,"6072 Ministry of Indigenous Affairs and First Nations Economic Reconciliation 160 Bloor Street East, 4 th floor Toronto, On",National Day for Truth and Reconciliation,,,,,https://twitter.com/IndigenousON,https://www.facebook.com/IndigenousON,,https://instagram.com/indigenous_ontario
ON,Ministry,"Economic Development, Job Creation and Trade","Our engaged and inclusive team is passionate about delivering policies, programs and services to help businesses of all sizes and in every region to start, grow, invest, trade and create jobs, and to attract investment to Ontario.",,https://www.ontario.ca/page/ministry-economic-development-job-creation-trade,416-326-8475,,"777 Bay Street, 18 th floor Toronto, On",Venture Ontario,,,,,https://x.com/ONeconomy,https://www.facebook.com/EconomyON/,,
ON,Ministry,Municipal Affairs and Housing,"Working with local governments and partners across Ontario to build safe and strong urban and rural communities with dynamic local economies, a high quality of life and affordable and suitable homes for everyone.",,https://www.ontario.ca/page/ministry-municipal-affairs-housing,416-585-7041,,"7095 Ministry of Municipal Affairs and Housing 777 Bay Street, 17 th Toronto, On",Building Code,,,,,https://twitter.com/housingon,https://www.facebook.com/ONMunicipalAndHousing,,
ON,Ministry,Public and Business Service Delivery and Procurement,"Ensuring people and businesses of Ontario can access vital programs, services, and products, overseeing consumer protection, advancing digital innovation and making it easier to run a business in Ontario.",,https://www.ontario.ca/page/ministry-public-and-business-service-delivery-and-procurement,,,"777 Bay Street, 5 th Floor Toronto, On","The Archives of Ontario is the largest provincial archives in Canada and the premier source of information about the history of the land we now call Ontario and its people. Since 1903, we’ve been collecting, preserving and making available the documentary heritage of the province.",,,,,https://x.com/ServiceOntario,https://www.facebook.com/ServiceOntario,,https://www.instagram.com/archivesontario/
ON,Ministry,Northern Economic Development and Growth,"Promoting economic and community development in Northern Ontario with business support services, grants and loans.",,https://www.ontario.ca/page/ministry-northern-economic-development-and-growth,,MNEDG.Minister@ontario.ca,"933 Ramsey Lake Road, 4 th Floor Sudbury, On","The Government of Ontario includes ministries, agencies and Crown corporations.",,,,,https://x.com/NorthON,https://www.facebook.com/ONnorth/,,
ON,Ministry,Natural Resources,Protecting Ontario’s biodiversity while promoting economic opportunities in the resource sector and supporting outdoor recreation opportunities.,,https://www.ontario.ca/page/ministry-natural-resources,1-800-387-7011,minister.mnrf@ontario.ca,"300 Water Street Peterborough, On",Protecting Ontario’s biodiversity while promoting economic opportunities in the resource sector and supporting outdoor recreation opportunities.,,,,,https://x.com/ONresources,https://www.facebook.com/ONresources,,https://www.instagram.com/ONresources/
ON,Ministry,Red Tape Reduction,"We’re improving services for people, reducing costs for businesses, and making it easier to work with government.",,https://www.ontario.ca/page/ministry-red-tape-reduction,,,"56 Wellesley Street West Toronto, On",Delivering Results: Cutting Red Tape to Build a Stronger Ontario,,,,,https://x.com/CutRedTapeON1,,,https://instagram.com/cutredtapeon
ON,Ministry,Rural Affairs,Ensuring prosperity across the province by supporting business development and vibrant communities in rural Ontario.,,https://www.ontario.ca/page/ministry-rural-affairs,647-329-1485,,"1485 Ministry of Rural Affairs 777 Bay Street Toronto, On",Rural Economic Development Strategy,,,,,https://x.com/ONRuralAffairs,https://www.facebook.com/ONRuralAffairs/,,
ON,Ministry,Solicitor General,"Ensuring Ontario’s communities are supported and protected by law enforcement, and that public safety and correctional systems are safe, effective and accountable.",,https://www.ontario.ca/page/ministry-solicitor-general,416-326-5000,,"0572 Ministry of the Solicitor General 25 Grosvenor Street Toronto, On","Ensuring Ontario’s communities are supported and protected by law enforcement, and that public safety and correctional systems are safe, effective and accountable.",,,,,https://x.com/onsafety,https://www.facebook.com/ONsafety,,
ON,Ministry,Sport,"Enhancing quality of life by promoting sustainable sport and recreation, fostering healthy, active communities, supporting athletic development and driving economic growth.",,https://www.ontario.ca/page/ministry-sport,647-534-0564,,"777 Bay Street Toronto, On","The Government of Ontario includes ministries, agencies and Crown corporations.",,,,,https://x.com/ontariosport,https://www.facebook.com/ontarioministryofsport/,,https://www.instagram.com/ontario.sport/
ON,Ministry,Seniors and Accessibility,"Helping seniors and people with disabilities stay independent, active, and socially connected. We are also helping seniors stay safe and making Ontario more accessible for everyone and promoting the benefits of age-diverse, accessible workplaces and communities where everyone is able to participate.",,https://www.ontario.ca/page/ministry-seniors-accessibility,416-326-7076,,,The Ministry oversees:,,,,,https://x.com/seniorsON,https://www.facebook.com/SeniorsOntario,,
ON,Ministry,Intergovernmental Affairs,"Working with provincial, federal and international partners on issues that affect Ontario.",,https://www.ontario.ca/page/ministry-intergovernmental-affairs,416-326-1234,,"5520 99 Wellesley Street West Toronto, On","The Office of International Relations and Protocol acts as the Ontario government’s point of contact to one of the largest consular corps in the world, with more than 100 foreign governments represented in Ontario.",,,,,,,,
ON,Ministry,Long-Term Care,Overseeing long-term care in Ontario to ensure that residents get the quality of care and quality of life they need and deserve both now and in the future.,,https://www.ontario.ca/page/ministry-long-term-care,416-327-4327,,"400 University Avenue, 6 th Floor Toronto, On","The Ministry of Long-Term Care oversees long-term care in Ontario, including:",,,,,https://x.com/ONlongtermcare,https://www.facebook.com/ONlongtermcare/,,
ON,Ministry,"Tourism, Culture and Gaming","Supporting and delivering exceptional tourism, cultural and gaming experiences across the province.",,https://www.ontario.ca/page/ministry-tourism-culture-and-gaming,416-326-9326,,"438 University Avenue Toronto, On","The Government of Ontario includes ministries, agencies and Crown corporations.",,,,,https://x.com/ExploreON,https://www.facebook.com/ExploreON/?rf=227589730674142,,https://www.instagram.com/onexplore/
ON,Ministry,Emergency Preparedness and Response,Read theProvincial Emergency Management Strategy and Action Plan - 2025 Annual Report.,,https://www.ontario.ca/page/ministry-emergency-preparedness-and-response,,,,"Ensuring Ontario’s communities are safe, practiced and prepared for emergencies.",,,,,https://x.com/preparedON,https://facebook.com/preparedON,,
ON,Ministry,Transportation,"Moving people and goods safely, efficiently and sustainably across Ontario to improve quality of life and support a globally competitive economy.",,https://www.ontario.ca/page/ministry-transportation,416-235-4686,,"4686 Ministry of Transportation 777 Bay Street, 5 th floor Toronto, On","The Government of Ontario includes ministries, agencies and Crown corporations.",,,,,http://www.metrolinx.com/en/,https://www.facebook.com/OntarioTransportation,,https://www.instagram.com/ontario.transportation
