type,about,priorities,website,twitter,facebook,youtube,instagram,name,photo_url,minister_contact_number,minister_url
Forestry and Parks,"Responsible for growing our manufactured wood products and forestry sector, preserving and managing our public lands and provincial parks.",,https://www.alberta.ca/forestry-and-parks,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-todd-loewen-web.jpg?itok=Har6rek7,,https://www.alberta.ca/forestry-and-parks
Hospital and Surgical Health Services,"The Ministry of Hospital and Surgical Health Services was established on May 16, 2025. (Previously part of the Ministry of Health.)",,https://www.alberta.ca/hospital-and-surgical-health-services,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-matt-jones_0.jpg?itok=OFp5KEny,,https://www.alberta.ca/hospital-and-surgical-health-services
Indigenous Relations,"Works with Indigenous Peoples, communities, organizations, industry and other levels of government to develop opportunities.",,https://www.alberta.ca/indigenous-relations,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/Cabinet-Rajan-Sawhney.jpg?itok=er7sHfv6,,https://www.alberta.ca/indigenous-relations
Infrastructure,"Responsible for planning, building and managing government-owned infrastructure.",,https://www.alberta.ca/infrastructure,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-martin-long_0.jpg?itok=cc6WspXL,,https://www.alberta.ca/infrastructure
"Jobs, Economy, Trade and Immigration","Supports, develops and promotes economic development, trade and investment, safe, fair and healthy workplaces, and attracts skilled workers.",,https://www.alberta.ca/jobs-economy-trade-and-immigration,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-joseph-schow-web_0.jpg?itok=46XPywC1,,https://www.alberta.ca/jobs-economy-trade-and-immigration
Justice,Leads a fair and innovative justice system.,,https://www.alberta.ca/justice,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,https://www.youtube.com/user/absolgen,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-mickey-amery-web.jpg?itok=TAD6AOnj,,https://www.alberta.ca/justice
Mental Health and Addiction,"Manages Alberta’s recovery-oriented system of mental health and addiction care, focused on prevention, intervention, treatment and recovery.",,https://www.alberta.ca/mental-health-and-addiction,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-rick-wilson01.jpg?itok=cK8u7-3v,,https://www.alberta.ca/mental-health-and-addiction
Municipal Affairs,"Assists municipalities in providing well-managed, collaborative, and accountable local government to Albertans.",,https://www.alberta.ca/municipal-affairs,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-dan-williams.jpg?itok=Adq_vm7f,,https://www.alberta.ca/municipal-affairs
Primary and Preventative Health Services,"The Ministry of Primary and Preventative Health Services was established on May 16, 2025. [Previously part of the Ministry of Health.]",,https://www.alberta.ca/primary-and-preventative-health-services,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/Cabinet-Adriana-LaGrange.jpg?itok=a9pwltHo,,https://www.alberta.ca/primary-and-preventative-health-services
Public Safety and Emergency Services,"Keeping Alberta communities safe and secure, and ensuring our province is prepared for and resilient to the impacts of disasters.",,https://www.alberta.ca/public-safety-and-emergency-services,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-mike-ellis-web.jpg?itok=fqZENQl6,,https://www.alberta.ca/public-safety-and-emergency-services
Public Service Commission,"Ensures Alberta has an effective, professional, non-partisan, and engaged  public service that proudly serves Albertans.",,https://www.alberta.ca/public-service-commission,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-nate-horner-web_0.jpg?itok=MWPr6D_R,,https://www.alberta.ca/public-service-commission
Service Alberta and Red Tape Reduction,"Delivering better, faster and smarter services to Albertans and reducing regulatory burdens across government.",,https://www.alberta.ca/service-alberta,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-dale-nally.jpg?itok=SqIIQGeT,,https://www.alberta.ca/service-alberta
Technology and Innovation,Making Technology and Innovation the driving force behind Alberta's economic diversification and growth.,,https://www.alberta.ca/technology-and-innovation,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-nate-glubish-web.jpg?itok=eyhomulM,,https://www.alberta.ca/technology-and-innovation
Tourism and Sport,"Responsible for the continued growth of Alberta’s tourism and sport sectors to help make Alberta the best place to live, play and visit.",,https://www.alberta.ca/tourism-and-sport,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/minister-andrew-boitchenko.jpg?itok=u7s-LgrX,,https://www.alberta.ca/tourism-and-sport
Transportation and Economic Corridors,"Provides a safe and efficient transportation system to support Alberta’s economic, social and environmental vitality.",,https://www.alberta.ca/transportation-and-economic-corridors,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,https://www.youtube.com/playlist?list=PLDB701B45B9E55115&feature=view_all,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/Cabinet-Devin-Dreeshen.jpg?itok=Y1IcYO3O,,https://www.alberta.ca/transportation-and-economic-corridors
Treasury Board and Finance,"Responsible for budget planning, financial management and economic analysis, as well as the administration of tax and revenue programs.",,https://www.alberta.ca/treasury-board-and-finance,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-nate-horner-web_0.jpg?itok=MWPr6D_R,,https://www.alberta.ca/treasury-board-and-finance
